卷,章,模块,场景,关键事件,关键线索/道具,人物关系进展,Iris动机/成长,爽点/钩子,延迟揭示点控制,伏笔设置,伏笔回收,备注
卷一,第1章,模块1-入局,公寓凌晨,Voss死亡新闻,Iris开始怀疑,"床伴出场(摄影记者)","私人动机:找姐姐,非正义","开局钩子:Grace照片+钥匙+\"Grace从未消失\"",-,设置:照片手腕疤痕,,"床戏场景;女主动机私人化"
卷一,第2章,模块1-入局,Pier 9储物柜,打开Locker 317,"Vita胸针,腕带YR-11-2084,Basement索引页","床伴间歇性出场","继续追查","发现线索:青年复原项目YRI","Basement不等于地下室(误导)","设置:MERCER/SLOANE/V.F.缩写",,"术语:archive pending"
卷一,第3章,模块1-入局,山路车祸现场,Hurst议员死亡,Adrian Vale首次登场,"Iris与Adrian首次交锋","怀疑官方定性","新人物登场(危机顾问)",-,"设置:Hurst与Voss案关联",,""
卷一,第4章,模块1-入局,直播/网络,Iris直播曝光Hurst签字页,被媒体和法务盯上,-,"从私人追查转向公开对抗","打脸爽点:逼官方回应",-,"设置:Vita Foundation","","开始被系统注意"
卷一,第5章,模块2-深入,法医办公室,法医Mara Quinn展示2084尸检,"真实尸检:restraint bruising,sedative irregular",-,"发现姐姐死亡存疑","信息揭露:官方版本造假",-,"设置:父亲E.K.签名",,"女主流苏爽点"
卷一,第6章,模块2-深入,Iris公寓,Adrian上门给白卡,Adrian给内部入口,"与Adrian建立信任(暧昧但不越界)","获得内部资源","温情场面:白卡次日失效",-,"设置:Adrian被边缘化伏笔",,""
卷一,第7章,模块2-深入,旧法院档案室,发现父亲签名,"E.K.签名,chamber override,migrated/redacted","床伴间歇性出场(对比)","发现父亲涉案","冲击:父亲不是无辜的",-,"设置:父亲Basement权限",,"父女关系复杂化"
卷一,第8章,模块2-深入,父亲旧楼,发现Basement便笺,"Basement access review便笺","与Adrian信息共享","接近系统核心","术语:Basement/B-layer",Basement不是地下室,"设置:父亲设计\"方法\"",,""
卷一,第9章,模块3-真相初显,街头,YRI假证人被SUV撞死,"临死:不是地下室,是停车楼,B-access",-,"追查代价:证人被杀","情绪冲击:系统杀人灭口",-,"设置:影账边缘(仅回响)",,"小人物真实瞬间"
卷一,第10章,模块3-真相初显,停车楼,发现B-layer真相,"B-layer=处理中间层,非物理空间",-,"认知升级:系统语言","真相揭示:Basement真义",-,-,"设置:Basement误导回收","回收:地下室谜题"
卷一,第11章,模块3-真相初显,Vita慈善晚宴,潜入Glass Room,"routing flags,archive eligibility","Adrian带Iris潜入(暧昧proximity)","获得高层入口","高钩子:慈善晚宴下的操作",-,"设置:Vivian管理员气场",,"制度空气描写"
卷一,第12章,模块3-真相初显,晚宴后续,拿到Glass Ledger Q3 Extract,"账本系统=处理痕迹管理","与Adrian配合默契","理解系统本质","认知升级:不是名单是痕迹",-,"设置:Grace状态为private continuity",,"核心概念揭示"
卷一,第13章,模块4-对抗,City Hall,Adrian被边缘化,-,"Adrian被切割,成为弃子","Adrian倒向Iris","情感转折:Adrian选择",-,"回收:Adrian旧签字链伏笔",,""
